name	indication	catagories	synonyms
Phenylpropanolamine	For the treatment of nasal congestion, control of urinary incontinence, priapism and obesity.	Appetite Depressants****spec****Sympathomimetics****spec****Adrenergic alpha-Agonists****spec****Nasal Decongestants****spec****	2-amino-1-phenylpropan-1-ol****spec****Fenilpropanolamina****spec****Norephedrin****spec****Norephedrine****spec****Phenylpropanolamin****spec****Phénylpropanolamine****spec****Phenylpropanolaminum****spec****PPA****spec****β-hydroxyamphetamine****spec****
Sorafenib	Sorafenib is indicated for the treatment of unresectable hepatocellular carcinoma and advanced renal cell carcinoma.  	Antineoplastic Agents****spec****	4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide****spec****N-(4-Chloro-3-(trifluoromethyl)phenyl)-n'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea****spec****Sorafenibum****spec****
Zoledronate	For the treatment of hypercalcemia of malignancy. Also for the treatment of patients with multiple myeloma and patients with documented bone metastases from solid tumors, in conjunction with standard antineoplastic therapy. In May of 2007, the drug was approved for treatment of Paget’s Disease.	Antiresorptives****spec****Antihypocalcemic Agents****spec****Bone Density Conservation Agents****spec****Bisphosphonates****spec****	(1-Hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid****spec****(1-Hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid****spec****Reclast****spec****ZOL****spec****Zoledronic acid****spec****
Griseofulvin	For the treatment of ringworm infections of the skin, hair, and nails, namely: tinea corporis, tinea pedis, tinea cruris, tinea barbae, cradle cap or other conditions caused by <i>Trichophyton</i> or <i>Microsporum</i> fungi.	Anti-Bacterial Agents****spec****Antifungal Agents****spec****	(+)-griseofulvin****spec****Amudane****spec****Curling factor****spec****Fulcin****spec****Fulvicin****spec****Grifulvin****spec****Grisactin****spec****Griseofulvin****spec****Griseofulvin, microcrystalline****spec****Griseofulvin, ultramicrosize****spec****Griseofulvina****spec****Griseofulvine****spec****Griseofulvinum****spec****Grisovin****spec****Grysio****spec****Lamoryl****spec****Likuden****spec****Poncyl****spec****Spirofulvin****spec****Sporostatin****spec****
Nisoldipine	For the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.	Antihypertensive Agents****spec****Vasodilator Agents****spec****Calcium Channel Blockers****spec****	isobutyl methyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate****spec****Nisoldipin****spec****Nisoldipina****spec****Nisoldipine****spec****Nisoldipino****spec****Nisoldipinum****spec****Sular****spec****
Eszopiclone	For the treatment of insomnia	Hypnotics (Nonbenzodiazepine)****spec****Hypnotics and Sedatives****spec****	(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate****spec****(+)-(5S)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate****spec****(+)-Zopiclone****spec****(S)-6-(5-Chloro-2-pyridinyl)- 7-oxo- 6,7-dihydro- 5H-pyrrolo[3,4-b]pyrazin-5-yl- 4-methyl- 1-piperazinecarboxylate****spec****(S)-Zopiclone****spec****1-Piperazinecarobxylic acid,4-methyl-,(5S)-6-(5-chloro-2-pyridinyl)-6,7-dihydro-7-oxo-5H-pyrrolo[3,4-b]pyrazin-5-yl ester****spec****Esopiclone****spec****Estorra****spec****Eszopiclone****spec****
Ceruletide	Caerulein stimulates gastric, biliary, and pancreatic secretion; and certain smooth muscle. As such, it is used in paralytic ileus and as diagnostic aid in pancreatic malfunction.	Diagnostic Agents****spec****	Caerulein****spec****Cerulein****spec****Ceruletida****spec****Ceruletidum****spec****
Alprazolam	For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia.	Benzodiazepines****spec****Anti-Anxiety Agents****spec****Hypnotics and Sedatives****spec****GABA Modulators****spec****	8-Chloro-1-methyl-6-phenyl-4H-S-triazolo(4,3-a)(1,4)benzodiazepine****spec****Alprazolam****spec****Xanax****spec****
Dexbrompheniramine	For treatment and relief of symptoms of allergies, hay fever, and colds	Histamine H1 Antagonists****spec****Histamine Antagonists****spec****	(+)-Brompheniraminum****spec****(+)-parabromdylamine****spec****(R)-3-(4-Bromophenyl)-3-(2-pyridyl)propyldimethylamine****spec****(S)-(+)-Brompheniramine****spec****(S)-Brompheniramine****spec****3-(4-bromophenyl)- N,N-dimethyl- 3-pyridin-2-yl-propan-1-amine****spec****D-Brompheniramine****spec****Desbrofeniramina****spec****Dexbromfeniramina****spec****Dexbrompheniramin****spec****Dexbromphéniramine****spec****Dexbrompheniraminum****spec****Parabromodylamine****spec****
Gentian Violet	For the treatment of bacterial and fungal infections inside the mouth (thrush) and skin, also for the prevention of transmission of Chagas' disease (as a blood additive).	Anti-Infective Agents, Local****spec****	Crystal Violet****spec****Crystal violet carbocation****spec****Crystal violet ion(1)****spec****Crystal violet(1+)****spec****Gentian violet carbocation****spec****Gentian violet cation****spec****Gentian violet(1+)****spec****Methyl Violet 10B****spec****Pyoctanin****spec****Pyoctanine****spec****
Ardeparin	For prevention of deep vein thrombosis, which may result in pulmonary embolism, following knee surgery.	Antithrombins****spec****Heparins****spec****Heparin (Low Molecular Weight)****spec****	Ardeparin sodium****spec****
Loxapine	For the management of the manifestations of psychotic disorders such as schizophrenia	Antipsychotic Agents****spec****Dopamine Antagonists****spec****Antipsychotic Agents (First Generation [Typical])****spec****	2-Chloro-11-(4-methyl-1-piperazinyl)dibenz[b,f][1,4]oxazepine****spec****Cloxazepine****spec****Loxapina****spec****Loxapine****spec****Loxapinum****spec****oxilapine****spec****
Remoxipride	Remoxipride is an atypical antipsychotic once used for the treatment of schizophrenia.	Antipsychotic Agents****spec****Dopamine Antagonists****spec****	a-33547****spec****FLA-731****spec****Remoxiprida****spec****Remoxipride****spec****Remoxipridum****spec****Romoxipride****spec****Roxiam****spec****
Mupirocin	For the treatment of <i>Staphylococci</i> nasal carriers.	Anti-Bacterial Agents****spec****Antibiotics****spec****Protein Synthesis Inhibitors****spec****	9-[(E)-4-[(2S,3R,4R,5S)-3,4-dihydroxy-5-[[(2S,3S)-3- [(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl]methyl] oxan-2-yl]-3-methylbut-2-enoyl]oxynonanoic acid****spec****Bactroban****spec****Centany****spec****Mupirocina****spec****Mupirocine****spec****Mupirocinum****spec****Pseudomonic acid****spec****Pseudomonic acid a****spec****
Carbachol	Primarily used in the treatment of glaucoma, but is also used during ophthalmic surgery.	Analgesics, Non-Narcotic****spec****Cardiotonic Agents****spec****Miotics****spec****Cholinergic Agonists****spec****	(2-Carbamoyloxyethyl)trimethylammonium chloride****spec****(2-Hydroxyethyl)trimethyl ammonium chloride carbamate****spec****(2-Hydroxyethyl)trimethylammonium chloride carbamate****spec****2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminium chloride****spec****2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminum chloride****spec****Carbachol chloride****spec****Carbacholum****spec****Carbacol****spec****Carbamylcholine****spec****Choline carbamate chloride****spec****Choline chloride, carbamate****spec****Choline chlorine carbamate****spec****Karbachol****spec****Karbamoylcholin chlorid****spec****
Rosiglitazone	Rosiglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. 	CYP2C8 Inhibitors (Moderate)****spec****	(±)-5-[p-[2-(methyl-2-pyridylamino)ethoxy]benzyl]-2,4-thiazolidinedione****spec****(RS)-5-{4-[2-(Methyl-2-pyridylamino)ethoxy]benzyl}-2,4-thiazolidinedion****spec****Rosiglitazon****spec****Rosiglitazona****spec****Rosiglitazone****spec****Rosiglitazonum****spec****
Pramipexole	For the treatment of signs and symptoms of idiopathic Parkinson's disease	Dopamine Agonists****spec****Antiparkinson Agents****spec****Antioxidants****spec****Antidyskinetics****spec****	(-)-Pramipexole****spec****(S)-N  6-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine****spec****2,6-Benzothiazolediamine, 4,5,6,7-tetrahydro-N(sup 6)-propyl-, (S)-****spec****Pramipexol****spec****Pramipexole****spec****Pramipexolum****spec****
Ampicillin	For treatment of infection (Respiratory, GI, UTI and meningitis) due to E. coli, P. mirabilis, enterococci, Shigella, S. typhosa and other Salmonella, nonpenicillinase-producing N. gononhoeae, H. influenzae, staphylococci, streptococci including streptoc	Penicillins****spec****Anti-Bacterial Agents****spec****	(2S,5R,6R)-6-{[(2R)-2-amino-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****(2S,5R,6R)-6-{[(2R)-2-amino-2-phenylethanoyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****6-(D-(2-amino-2-Phenylacetamido))-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid****spec****ABPC****spec****Aminobenzylpenicillin****spec****AMP****spec****Ampicilina****spec****Ampicillin****spec****Ampicillin Acid****spec****Ampicillin Anhydrous****spec****Ampicilline****spec****Ampicillinum****spec****Anhydrous ampicillin****spec****AP****spec****D-(-)-6-(alpha-Aminophenylacetamido)penicillanic acid****spec****D-(-)-Ampicillin****spec****D-(−)-6-(α-aminophenylacetamido)penicillanic acid****spec****D-(−)-ampicillin****spec****
Phenoxymethylpenicillin	For the treatment of mild to moderately severe infections (e.g. dental infection, infections in the heart, middle ear infections, rheumatic fever, scarlet fever, skin infections, upper and lower respiratory tract infections) due to microorganisms	Penicillins****spec****Anti-Bacterial Agents****spec****	(2S,5R,6R)-3,3-DIMETHYL-7-oxo-6-(2-phenoxyacetamido)-4-thia-1- azabicyclo(3.2.0)heptane-2-carboxylic acid****spec****(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-[(phenoxyacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****6-phenoxyacetamidopenicillanic acid****spec****Fenospen****spec****Fenoximetilpenicilina****spec****Oracillin****spec****Penicillin Phenoxymethyl****spec****Penicillin V****spec****Phenoxomethylpenicillin****spec****Phenoxymethyl Penicillin****spec****Phenoxymethylenepenicillinic acid****spec****Phenoxymethylpenicilline****spec****Phenoxymethylpenicillinum****spec****PV****spec****V-cillin****spec****
Secobarbital	For the Short-term treatment of intractable insomnia for patients habituated to barbiturates	Barbiturates****spec****Hypnotics and Sedatives****spec****CYP2C9 Inducers (Strong)****spec****Adjuvants****spec****Adjuvants, Anesthesia****spec****GABA Modulators****spec****	(+-)-Secobarbital****spec****(±)-secobarbital****spec****5-(1-Methylbutyl)-5-(2-propenyl)-2,4,6(1H,3H,5H)-pyrimidinetrione****spec****5-Allyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione****spec****5-allyl-5-(1-methylbutyl)barbituric acid****spec****5-Allyl-5-(1-methylbutyl)pyrimidine-2,4,6(1H,3H,5H)-trione****spec****Quinalbarbitone****spec****Secobarbitalum****spec****Secobarbitone****spec****Seconal****spec****
Miglustat	For the treatment of adult patients with mild to moderate type 1 (nonneuropathic) Gaucher's disease for whom enzyme replacement therapy is not a therapeutic option (e.g. due to constraints such as allergy, hypersensitivity, or poor venous access). Now approved in some countries for the treatment of progressive neurological symptoms in adult and pediatric patients with Niemann-Pick disease type C (NP-C). 	Enzyme Inhibitors****spec****	BuDNJ****spec****Butyldeoxynojirimycin****spec****Miglustatum****spec****N-(N-Butyl)deoxynojirimycin****spec****N-Butyl deoxynojirimycin****spec****N-Butyl-1-deoxynojirimycin****spec****N-Butylmoranoline****spec****NB-dnj****spec****SC-48334****spec****Zavesca****spec****
Promazine	Used as an adjunct for short term treatment of moderate and severe psychomotor agitation. Also used to treat agitation or restlessness in the elderly.	Antipsychotic Agents****spec****Phenothiazines****spec****Dopamine Antagonists****spec****Antiemetics****spec****	10-(3-(Dimethylamino)propyl)phenothiazine****spec****Frenil****spec****N-(3-Dimethylaminopropyl)phenothiazine****spec****N-Dimethylamino-1-methylethyl thiodiphenylamine****spec****N,N-dimethyl-3-(10H-phenothiazin-10-yl)-propan-1-amine****spec****Promazin****spec****Promazina ****spec****Promazina****spec****Promazine****spec****Promazinum****spec****
Spironolactone	Used primarily to treat low-renin hypertension, hypokalemia, and Conn's syndrome.	Diuretics****spec****Mineralocorticoid Receptor Antagonists****spec****	Espironolactona****spec****Spironolactone****spec****Spironolactonum****spec****Spironolattone****spec****
Methylphenidate	For use as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity.	Central Nervous System Stimulants****spec****Dopamine Uptake Inhibitors****spec****	alpha-Phenyl-2-piperidineacetic acid methyl ester****spec****Daytrana****spec****Methyl alpha-phenyl-alpha-(2-piperidyl)acetate****spec****Methyl alpha-phenyl-alpha-2-piperidinylacetate****spec****Methyl phenidylacetate****spec****Methylphenidan****spec****Methylphenidate****spec****Methylphenidatum****spec****Metilfenidato****spec****MPH****spec****
Methocarbamol	For use as an adjunct to rest, physical therapy, and other measures for the relief of discomforts associated with acute, painful musculoskeletal conditions.	Muscle Relaxants, Central****spec****	(RS)-2-hydroxy-3-(2-methoxyphenoxy)propyl carbamate****spec****Delaxin****spec****Methocarbamol****spec****Méthocarbamol****spec****Methocarbamolum****spec****Metocarbamol****spec****Metocarbamolo****spec****Robaxin****spec****
Hyoscyamine	For treatment of bladder spasms, peptic ulcer disease, diverticulitis, colic, irritable bowel syndrome, cystitis, and pancreatitis. Also used to treat certain heart conditions, to control the symptoms of Parkinson's disease and rhinitis.	Muscarinic Antagonists****spec****Anti-Arrhythmia Agents****spec****Antispasmodics****spec****	(-)-Atropine****spec****(-)-Hyoscyamine****spec****(−)-atropine****spec****(−)-hyoscyamine****spec****(S)-(-)-Hyoscyamine****spec****(S)-(−)-hyoscyamine****spec****(S)-atropine****spec****[3(S)-Endo]-alpha-(hydroxymethyl)benzeneacetic acid 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester****spec****Daturin****spec****Daturine****spec****Duboisine****spec****Hyoscyamin****spec****Hyoscyamine****spec****Hyoscyaminum****spec****L-Hyoscyamine****spec****L-Tropine Tropate****spec****Tropine-L-tropate****spec****Tropine, (-)-tropate****spec****
Zolpidem	For the short-term treatment of insomnia.	GABA-A Receptor Agonists****spec****Hypnotics and Sedatives****spec****	N,N,6-Trimethyl-2-(4-methylphenyl)imidazo(1,2-a)pyridine-3-acetamide****spec****Zolpidem****spec****Zolpidemum****spec****
Famciclovir	For the treatment of acute herpes zoster (shingles). Also for the treatment or suppression of recurrent genital herpes in immunocompetent patients and treatment of recurrent mucocutaneous herpes simplex infections in HIV infected patients.	Antiviral Agents****spec****Prodrugs****spec****Nucleic Acids, Nucleotides, and Nucleosides****spec****	2-(2-(2-amino-9H-Purin-9-yl)ethyl)-1,3-propanediol diacetate****spec****9-[4-Acetoxy-3-(acetoxymethyl)but-1-yl]-2-aminopurine****spec****Acetic acid 2-acetoxymethyl-4-(2-amino-purin-9-yl)-butyl ester****spec****BRL-42810****spec****Famciclovir****spec****Famciclovirum****spec****Famvir****spec****FCV****spec****
Triprolidine	For the symptomatic relief of seasonal or perennial allergic rhinitis or nonallergic rhinitis; allergic conjunctivitis; and mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Also used in combination with other agents for the symptomatic relief of symptoms associated with the common cold.		Actahist****spec****Actidil****spec****Actifed****spec****Allerfed****spec****Corphed****spec****Histafed****spec****Myfed****spec****Myidyl****spec****Trilitron****spec****Triphed****spec****Tripolidina****spec****Triprolidin****spec****Triprolidine****spec****Triprolidinum****spec****
Streptozocin	For the treatment of malignant neoplasms of pancreas (metastatic islet cell carcinoma).	Antibiotics, Antineoplastic****spec****Antibiotics****spec****	2-Deoxy-2-(((methylnitrosoamino)carbonyl)amino)-D-glucopyranose****spec****2-Deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose****spec****Estreptozocina****spec****N-D-Glucosyl-(2)-n'-nitrosomethylurea****spec****N-D-Glucosyl-(2)-n&#39;-nitrosomethylharnstoff****spec****Streptozocin****spec****Streptozocine****spec****Streptozocinium****spec****Streptozocinum****spec****Streptozotocin****spec****Zanosar****spec****
